experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9712339043617249, max_false: 0.9880115389823914, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9877890348434448, max_false: 0.9647239446640015, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9732921719551086, max_false: 0.9877769947052002, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9846746921539307, max_false: 0.957487165927887, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9592549800872803, max_false: 0.9836825132369995, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9849079847335815, max_false: 0.9583330154418945, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9698058366775513, max_false: 0.9906342625617981, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.989973783493042, max_false: 0.967776894569397, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9688388109207153, max_false: 0.9897991418838501, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9889106750488281, max_false: 0.9653823971748352, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9732358455657959, max_false: 0.9903191924095154, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9859175086021423, max_false: 0.963435709476471, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9491894841194153, max_false: 0.9702287912368774, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9881063103675842, max_false: 0.9608901739120483, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9537209272384644, max_false: 0.985704779624939, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9905918836593628, max_false: 0.9723133444786072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9689289927482605, max_false: 0.9840518236160278, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9864990711212158, max_false: 0.9586630463600159, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9709344506263733, max_false: 0.991183340549469, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9912981986999512, max_false: 0.9622319936752319, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9612665772438049, max_false: 0.9873653054237366, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9900370240211487, max_false: 0.9575440883636475, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9740506410598755, max_false: 0.9926441311836243, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9897531270980835, max_false: 0.9656548500061035, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9671481251716614, max_false: 0.9849639534950256, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9900003671646118, max_false: 0.9601764678955078, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9749301671981812, max_false: 0.9929763078689575, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9896628856658936, max_false: 0.9712353348731995, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9674577713012695, max_false: 0.9900968074798584, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9851394891738892, max_false: 0.95354163646698, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9683276414871216, max_false: 0.9879066348075867, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.989374041557312, max_false: 0.9695152640342712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9648317098617554, max_false: 0.9898348450660706, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9875975251197815, max_false: 0.9648948907852173, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.958613395690918, max_false: 0.9890933632850647, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9902940392494202, max_false: 0.9611142873764038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9623615741729736, max_false: 0.9862779378890991, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9864853024482727, max_false: 0.961349368095398, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9713082909584045, max_false: 0.9912703633308411, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9868613481521606, max_false: 0.9691724181175232, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9676177501678467, max_false: 0.9868408441543579, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9893609881401062, max_false: 0.9697847366333008, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9590715169906616, max_false: 0.9879127144813538, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9882980585098267, max_false: 0.9597244262695312, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9699684381484985, max_false: 0.9870402216911316, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9907092452049255, max_false: 0.9723842144012451, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9721379280090332, max_false: 0.9858794808387756, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9749417304992676, max_false: 0.9563664197921753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9689229130744934, max_false: 0.9830931425094604, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9890967011451721, max_false: 0.9636907577514648, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9720795154571533, max_false: 0.9874273538589478, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9880489706993103, max_false: 0.9699527621269226, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9698813557624817, max_false: 0.9907126426696777, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9907493591308594, max_false: 0.9716446399688721, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9673982262611389, max_false: 0.9884888529777527, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9882813692092896, max_false: 0.9638252258300781, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9647234082221985, max_false: 0.9870062470436096, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9849740862846375, max_false: 0.9678263068199158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9673030972480774, max_false: 0.9882301688194275, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9894378185272217, max_false: 0.9656801223754883, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9605786800384521, max_false: 0.9891931414604187, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.988845705986023, max_false: 0.9469853043556213, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9698933362960815, max_false: 0.9889939427375793, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9900007843971252, max_false: 0.9711113572120667, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9713448286056519, max_false: 0.9899453520774841, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9883367419242859, max_false: 0.9689602255821228, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9720290899276733, max_false: 0.9901881814002991, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.99000483751297, max_false: 0.9723817706108093, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9743844270706177, max_false: 0.9919294118881226, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9882848262786865, max_false: 0.9780672192573547, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9609388709068298, max_false: 0.9820175170898438, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9875762462615967, max_false: 0.9665894508361816, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9655576944351196, max_false: 0.9917062520980835, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9927166104316711, max_false: 0.9696428179740906, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9680947065353394, max_false: 0.9893536567687988, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9887425303459167, max_false: 0.9664837718009949, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9729886054992676, max_false: 0.991563081741333, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9901180863380432, max_false: 0.9634779095649719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9659380316734314, max_false: 0.9869804978370667, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9898697137832642, max_false: 0.9718111753463745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9701050519943237, max_false: 0.9873907566070557, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9918585419654846, max_false: 0.9646621942520142, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9692020416259766, max_false: 0.9866601824760437, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.987014651298523, max_false: 0.9674522876739502, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9702895283699036, max_false: 0.9888243079185486, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.989014208316803, max_false: 0.961406946182251, correct: True
