experiment run details:
  dataset: hoi
  model: phi hoi None
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9495859146118164, max_false: 0.9517240524291992, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9544147849082947, max_false: 0.9124777913093567, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9562933444976807, max_false: 0.962877094745636, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9383286833763123, max_false: 0.9003387689590454, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9329689741134644, max_false: 0.9361547231674194, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9275499582290649, max_false: 0.9143555164337158, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9588139057159424, max_false: 0.9615265130996704, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9579029083251953, max_false: 0.936039924621582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.946662962436676, max_false: 0.9616895318031311, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9590617418289185, max_false: 0.9283744096755981, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9218571186065674, max_false: 0.9362163543701172, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9329982399940491, max_false: 0.9082736372947693, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8609656691551208, max_false: 0.884948194026947, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9513804912567139, max_false: 0.9473540186882019, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9233473539352417, max_false: 0.9338380098342896, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9566568732261658, max_false: 0.9518149495124817, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9572113752365112, max_false: 0.9457834959030151, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9656147956848145, max_false: 0.9303653836250305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9593045711517334, max_false: 0.9535862803459167, correct: True
