experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9647718071937561, max_false: 0.9861104488372803, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9856665134429932, max_false: 0.9577580094337463, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9611650705337524, max_false: 0.9850609302520752, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.973624050617218, max_false: 0.9332722425460815, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9473280906677246, max_false: 0.9791955351829529, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.976935863494873, max_false: 0.9475402235984802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.958864152431488, max_false: 0.9873012900352478, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9871870875358582, max_false: 0.954876184463501, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9563238620758057, max_false: 0.9846949577331543, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9834473133087158, max_false: 0.9594661593437195, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.960235059261322, max_false: 0.9880474209785461, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9817869663238525, max_false: 0.9481502771377563, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9363500475883484, max_false: 0.9654659032821655, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9878463745117188, max_false: 0.9545980095863342, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.9528006315231323, max_false: 0.9836307764053345, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9888434410095215, max_false: 0.9577943682670593, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9583931565284729, max_false: 0.9816744327545166, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9805377125740051, max_false: 0.9459842443466187, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9565580487251282, max_false: 0.9867475032806396, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9896931648254395, max_false: 0.9534165263175964, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9532257318496704, max_false: 0.9857553243637085, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9869051575660706, max_false: 0.9501604437828064, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9658859372138977, max_false: 0.9890108704566956, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9881209135055542, max_false: 0.9549907445907593, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.955077588558197, max_false: 0.9809524416923523, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.986160397529602, max_false: 0.946588933467865, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9663463830947876, max_false: 0.9896132946014404, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9891313910484314, max_false: 0.9591673016548157, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.956535816192627, max_false: 0.9886956214904785, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9865639805793762, max_false: 0.9413392543792725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9562913775444031, max_false: 0.9840965867042542, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9888503551483154, max_false: 0.959334671497345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.962287187576294, max_false: 0.9893401265144348, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9832624197006226, max_false: 0.958670973777771, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9462018013000488, max_false: 0.9892670512199402, correct: False
