experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8331393599510193, max_false: 0.8723962903022766, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8872396945953369, max_false: 0.8295592665672302, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8628371953964233, max_false: 0.9013885855674744, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8988319635391235, max_false: 0.8461450338363647, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8543071150779724, max_false: 0.9004788398742676, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8941866755485535, max_false: 0.8444015979766846, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8586315512657166, max_false: 0.8876201510429382, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8833689093589783, max_false: 0.8404884338378906, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8468074798583984, max_false: 0.8960343599319458, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8813208341598511, max_false: 0.8327258825302124, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8414016962051392, max_false: 0.8825925588607788, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8949282765388489, max_false: 0.8512676954269409, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8139952421188354, max_false: 0.896504282951355, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.900946855545044, max_false: 0.8595255613327026, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8504427075386047, max_false: 0.8979272246360779, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8984562754631042, max_false: 0.8579117059707642, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8666161298751831, max_false: 0.9068539142608643, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9112198352813721, max_false: 0.8577342629432678, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.86234450340271, max_false: 0.8916457295417786, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.890164852142334, max_false: 0.8376368880271912, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8365484476089478, max_false: 0.8785582780838013, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8958016633987427, max_false: 0.8443388938903809, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8557146787643433, max_false: 0.9060631394386292, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8974423408508301, max_false: 0.8497509360313416, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.849903404712677, max_false: 0.8951315879821777, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8905494809150696, max_false: 0.8315886855125427, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8612374663352966, max_false: 0.8981619477272034, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9038083553314209, max_false: 0.8527949452400208, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8563354015350342, max_false: 0.9025076627731323, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8827840089797974, max_false: 0.8389496803283691, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8439871072769165, max_false: 0.8796961903572083, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9028898477554321, max_false: 0.8513025641441345, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8450660109519958, max_false: 0.8910764455795288, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8852847218513489, max_false: 0.8364607691764832, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8554130792617798, max_false: 0.8913776278495789, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8970721960067749, max_false: 0.8515421152114868, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8544195294380188, max_false: 0.8994974493980408, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8989400863647461, max_false: 0.8538907170295715, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8616588711738586, max_false: 0.9024845957756042, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8894306421279907, max_false: 0.84651118516922, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8369237780570984, max_false: 0.8860833644866943, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8930439352989197, max_false: 0.8356850147247314, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.840688943862915, max_false: 0.8878198266029358, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9067041873931885, max_false: 0.855608344078064, correct: True
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.8436301350593567, max_false: 0.8859731554985046, correct: False
in: torch.Size([257, 2560]), out: torch.Size([2560]), max_true: 0.9001427888870239, max_false: 0.84886634349823, correct: True
