experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9783928990364075, max_false: 0.971672773361206, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.973136305809021, max_false: 0.9659481644630432, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9480590224266052, max_false: 0.9586938619613647, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9666028618812561, max_false: 0.9498475790023804, correct: True
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9505075216293335, max_false: 0.9420782923698425, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.942274808883667, max_false: 0.9422369599342346, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8895662426948547, max_false: 0.9257128238677979, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9768712520599365, max_false: 0.9660499691963196, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.948227047920227, max_false: 0.9648988246917725, correct: False
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9662200212478638, max_false: 0.9784806370735168, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9445216655731201, max_false: 0.943432629108429, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9454976320266724, max_false: 0.9242721796035767, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9551725387573242, max_false: 0.971127986907959, correct: False
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9475874900817871, max_false: 0.9639132618904114, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9794983863830566, max_false: 0.9517240524291992, correct: True
in: torch.Size([103, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9350888729095459, max_false: 0.8871458172798157, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.955985426902771, max_false: 0.8773931264877319, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.955480694770813, max_false: 0.9603667259216309, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9838405251502991, max_false: 0.9720816016197205, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9087231755256653, max_false: 0.7553331255912781, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9606999754905701, max_false: 0.9595458507537842, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.952002227306366, max_false: 0.9410971403121948, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9500225782394409, max_false: 0.9622177481651306, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9883165955543518, max_false: 0.9821182489395142, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8311489820480347, max_false: 0.8530787229537964, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9545063376426697, max_false: 0.9595857262611389, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9868704676628113, max_false: 0.9766172766685486, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8749017119407654, max_false: 0.8744137287139893, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9706057906150818, max_false: 0.9694589376449585, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.95515376329422, max_false: 0.9456480741500854, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9576405882835388, max_false: 0.961737334728241, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9471442699432373, max_false: 0.9519226551055908, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9699615836143494, max_false: 0.9473482966423035, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.89503413438797, max_false: 0.8717958927154541, correct: True
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9562641978263855, max_false: 0.9415731430053711, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9627620577812195, max_false: 0.9402123093605042, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9799450039863586, max_false: 0.9714615345001221, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9583487510681152, max_false: 0.9619792103767395, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8681238889694214, max_false: 0.8877114057540894, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9713189601898193, max_false: 0.9612964987754822, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8964633345603943, max_false: 0.6809526681900024, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9730891585350037, max_false: 0.9671985507011414, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.940008282661438, max_false: 0.9254339933395386, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9553666710853577, max_false: 0.9009267091751099, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9478985667228699, max_false: 0.9552684426307678, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9439208507537842, max_false: 0.9199742078781128, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9485489726066589, max_false: 0.9214297533035278, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9732998013496399, max_false: 0.959782600402832, correct: True
in: torch.Size([138, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9627593755722046, max_false: 0.9464493989944458, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9666455984115601, max_false: 0.9320796132087708, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9776564240455627, max_false: 0.9705336689949036, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9171829223632812, max_false: 0.9209288954734802, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9605910778045654, max_false: 0.974583089351654, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.967051088809967, max_false: 0.9459415078163147, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9618410468101501, max_false: 0.9663503766059875, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9762860536575317, max_false: 0.9346024990081787, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9716343879699707, max_false: 0.9381545782089233, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9655740261077881, max_false: 0.9677293300628662, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8907008767127991, max_false: 0.8380034565925598, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9331803917884827, max_false: 0.9293392896652222, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9561204314231873, max_false: 0.9584744572639465, correct: False
in: torch.Size([194, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9575047492980957, max_false: 0.9450379014015198, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9142213463783264, max_false: 0.9426580667495728, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9654191732406616, max_false: 0.9652445912361145, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.935921311378479, max_false: 0.9199506044387817, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9561415910720825, max_false: 0.9556893110275269, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9517614841461182, max_false: 0.9604089856147766, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9413471817970276, max_false: 0.9458869695663452, correct: False
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.82750403881073, max_false: 0.8105901479721069, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8926632404327393, max_false: 0.8826667070388794, correct: True
