experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9141167402267456, max_false: 0.8866771459579468, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8311580419540405, max_false: 0.8321563601493835, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9466333985328674, max_false: 0.8957250118255615, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8585811853408813, max_false: 0.8541700839996338, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9260783791542053, max_false: 0.8562711477279663, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.772925853729248, max_false: 0.7446637749671936, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9382709264755249, max_false: 0.912673830986023, correct: True
in: torch.Size([103, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.866358757019043, max_false: 0.8707903027534485, correct: False
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9552465081214905, max_false: 0.8591787219047546, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.883825957775116, max_false: 0.7678285241127014, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8944273591041565, max_false: 0.8666224479675293, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8330873250961304, max_false: 0.8708717823028564, correct: False
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.944481611251831, max_false: 0.8303277492523193, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8838345408439636, max_false: 0.8396076560020447, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9361029267311096, max_false: 0.8613530397415161, correct: True
in: torch.Size([110, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.87715744972229, max_false: 0.8297227025032043, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9317790269851685, max_false: 0.9140251874923706, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8426559567451477, max_false: 0.8778464198112488, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9423884749412537, max_false: 0.9006487727165222, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8882935047149658, max_false: 0.8987042903900146, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8865587711334229, max_false: 0.8254837989807129, correct: True
in: torch.Size([178, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9062137603759766, max_false: 0.8749487996101379, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9116911888122559, max_false: 0.8371882438659668, correct: True
in: torch.Size([194, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.7579309344291687, max_false: 0.7326437830924988, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.846155047416687, max_false: 0.8025336265563965, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9473169445991516, max_false: 0.884166419506073, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9324181079864502, max_false: 0.8872730731964111, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9201608300209045, max_false: 0.8558623790740967, correct: True
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9310083389282227, max_false: 0.9107798933982849, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.926330029964447, max_false: 0.9273601770401001, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9268633127212524, max_false: 0.880881667137146, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8158907890319824, max_false: 0.8280384540557861, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9636910557746887, max_false: 0.8237131834030151, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8104950189590454, max_false: 0.7515299320220947, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9764387607574463, max_false: 0.9121335744857788, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8038564920425415, max_false: 0.8200188279151917, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9099939465522766, max_false: 0.8613969087600708, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9133163094520569, max_false: 0.8972185254096985, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8970180153846741, max_false: 0.8262118101119995, correct: True
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8014165163040161, max_false: 0.7681120038032532, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9160699844360352, max_false: 0.8307000398635864, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9154046177864075, max_false: 0.8768307566642761, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9147133827209473, max_false: 0.8660368323326111, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8750674724578857, max_false: 0.8655101656913757, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.7502796053886414, max_false: 0.7814763784408569, correct: False
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8244346380233765, max_false: 0.8375561237335205, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9189646244049072, max_false: 0.8304107189178467, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8746953010559082, max_false: 0.8247420787811279, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9428388476371765, max_false: 0.9651911854743958, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9419604539871216, max_false: 0.920861542224884, correct: True
