experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: single

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.930006742477417, max_false: 0.9217315316200256, correct: True
in: torch.Size([208, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9548814296722412, max_false: 0.9233220815658569, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8355196118354797, max_false: 0.8374332785606384, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.944352388381958, max_false: 0.8915892243385315, correct: True
in: torch.Size([124, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9141913056373596, max_false: 0.8897526264190674, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8969699740409851, max_false: 0.8863245248794556, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9439217448234558, max_false: 0.9504954814910889, correct: False
in: torch.Size([152, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9520578384399414, max_false: 0.9387170076370239, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8879075050354004, max_false: 0.8858985304832458, correct: True
in: torch.Size([166, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9343394637107849, max_false: 0.9223001003265381, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.8980634212493896, max_false: 0.8796586990356445, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9313690662384033, max_false: 0.9175862073898315, correct: True
in: torch.Size([118, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.871722936630249, max_false: 0.8927468657493591, correct: False
in: torch.Size([180, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9188619256019592, max_false: 0.903838574886322, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9512116312980652, max_false: 0.9376211166381836, correct: True
in: torch.Size([103, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9462155103683472, max_false: 0.9486338496208191, correct: False
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.951627254486084, max_false: 0.8731057047843933, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9444987773895264, max_false: 0.9353224635124207, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9499764442443848, max_false: 0.9253436326980591, correct: True
in: torch.Size([163, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9208626747131348, max_false: 0.926054060459137, correct: False
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9282562732696533, max_false: 0.9135594964027405, correct: True
in: torch.Size([133, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9270704388618469, max_false: 0.9072371125221252, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9148315787315369, max_false: 0.90961754322052, correct: True
in: torch.Size([148, 5120]), out: torch.Size([5120]), len: (6, 6), max_true: 0.9481233954429626, max_false: 0.9234882593154907, correct: True
