experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9230201840400696, max_false: 0.9247199892997742, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9343709945678711, max_false: 0.8706548810005188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9277927279472351, max_false: 0.9286181926727295, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9045746326446533, max_false: 0.8721894025802612, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.879612386226654, max_false: 0.8714337944984436, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8693481087684631, max_false: 0.8655908107757568, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9376037120819092, max_false: 0.935592770576477, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9145277738571167, max_false: 0.8950109481811523, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9130426645278931, max_false: 0.9302429556846619, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9109111428260803, max_false: 0.8739423751831055, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8527423739433289, max_false: 0.8623491525650024, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8892807960510254, max_false: 0.8502889275550842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8280229568481445, max_false: 0.8467472791671753, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9069679379463196, max_false: 0.9141044020652771, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8901248574256897, max_false: 0.8796908259391785, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9314796328544617, max_false: 0.9243894815444946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9319616556167603, max_false: 0.8935449719429016, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9347224831581116, max_false: 0.8712833523750305, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.947415828704834, max_false: 0.9158210158348083, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9431301951408386, max_false: 0.8875243663787842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8802012801170349, max_false: 0.8833101391792297, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9516342878341675, max_false: 0.9162250757217407, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8824456334114075, max_false: 0.8781110048294067, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9527135491371155, max_false: 0.9081583619117737, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9097272157669067, max_false: 0.8960856199264526, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8958664536476135, max_false: 0.8629783391952515, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9353487491607666, max_false: 0.9488874077796936, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9430751204490662, max_false: 0.9110240340232849, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9276348948478699, max_false: 0.9162207245826721, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8762943148612976, max_false: 0.8500981330871582, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9121745228767395, max_false: 0.8994083404541016, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9411901235580444, max_false: 0.8902431130409241, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9214763045310974, max_false: 0.9393893480300903, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8899742364883423, max_false: 0.8781099915504456, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9235227108001709, max_false: 0.9441788792610168, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9320277571678162, max_false: 0.9064457416534424, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9170370697975159, max_false: 0.9351147413253784, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.932481050491333, max_false: 0.9175330400466919, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9243949055671692, max_false: 0.9362664818763733, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9263851642608643, max_false: 0.8926016092300415, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9128785729408264, max_false: 0.9021170735359192, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9067476987838745, max_false: 0.8908172249794006, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8907629251480103, max_false: 0.9071907997131348, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9466522336006165, max_false: 0.932794988155365, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9054977297782898, max_false: 0.9125943183898926, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9156397581100464, max_false: 0.8964638113975525, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9233255982398987, max_false: 0.9160760641098022, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8836853504180908, max_false: 0.8746464848518372, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9226203560829163, max_false: 0.9021532535552979, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9207133054733276, max_false: 0.8875134587287903, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.883094847202301, max_false: 0.8764221668243408, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9241611957550049, max_false: 0.9333230257034302, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9493505954742432, max_false: 0.941356897354126, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9089664220809937, max_false: 0.8654031157493591, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9169798493385315, max_false: 0.9300985336303711, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202346801757812, max_false: 0.900526762008667, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9001040458679199, max_false: 0.9027314782142639, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8772234320640564, max_false: 0.8667168617248535, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8783797025680542, max_false: 0.8898440599441528, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9158945083618164, max_false: 0.8842648267745972, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7996177673339844, max_false: 0.842288076877594, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9496269226074219, max_false: 0.8535014390945435, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9251502156257629, max_false: 0.9256488680839539, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.921554684638977, max_false: 0.9043502807617188, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8972489833831787, max_false: 0.9133754968643188, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9258003830909729, max_false: 0.9059870839118958, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.920074999332428, max_false: 0.9159023761749268, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.928512454032898, max_false: 0.9166147708892822, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9321151971817017, max_false: 0.9505773782730103, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8776335716247559, max_false: 0.870903730392456, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9393796324729919, max_false: 0.9257587194442749, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9458857774734497, max_false: 0.9215012192726135, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.913625955581665, max_false: 0.9276976585388184, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.957493245601654, max_false: 0.9322516322135925, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.887069046497345, max_false: 0.904744029045105, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9350184202194214, max_false: 0.9029235243797302, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191858172416687, max_false: 0.934246838092804, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9338117241859436, max_false: 0.9124205112457275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8956199288368225, max_false: 0.8805440068244934, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8853793144226074, max_false: 0.9008620977401733, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8869295120239258, max_false: 0.828685998916626, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.93533855676651, max_false: 0.9028393626213074, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9296136498451233, max_false: 0.9382156729698181, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8802483081817627, max_false: 0.8609840869903564, correct: True
