experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8588406443595886, max_false: 0.852388858795166, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8900882601737976, max_false: 0.7330297231674194, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8874180912971497, max_false: 0.8915560245513916, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8448572158813477, max_false: 0.7577923536300659, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8038123846054077, max_false: 0.7532259821891785, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.782612144947052, max_false: 0.7731443643569946, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8742751479148865, max_false: 0.8403502106666565, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8149385452270508, max_false: 0.7484551072120667, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8485442399978638, max_false: 0.8791017532348633, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8043115735054016, max_false: 0.7125729322433472, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7772688865661621, max_false: 0.7830154299736023, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.807647705078125, max_false: 0.7689071893692017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7782655954360962, max_false: 0.7704352140426636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8293941617012024, max_false: 0.8651407957077026, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.8180608749389648, max_false: 0.7396805882453918, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8576101064682007, max_false: 0.8795878887176514, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8920348882675171, max_false: 0.7408636808395386, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9038227796554565, max_false: 0.7662450075149536, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9037638902664185, max_false: 0.7749084234237671, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8979141116142273, max_false: 0.7423312067985535, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7804426550865173, max_false: 0.8072456121444702, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9202972054481506, max_false: 0.8389363884925842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8379378914833069, max_false: 0.8123445510864258, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9198159575462341, max_false: 0.7920606732368469, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8768798112869263, max_false: 0.8265200257301331, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8374298810958862, max_false: 0.7450750470161438, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8856149911880493, max_false: 0.893173336982727, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9057085514068604, max_false: 0.8304787874221802, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8826090097427368, max_false: 0.8143236637115479, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8069496154785156, max_false: 0.7447078227996826, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.873672366142273, max_false: 0.810160219669342, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9123802781105042, max_false: 0.7608022093772888, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8348379731178284, max_false: 0.8722496628761292, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8433879017829895, max_false: 0.807120680809021, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8589967489242554, max_false: 0.871606707572937, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8725968599319458, max_false: 0.8215879201889038, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8554525375366211, max_false: 0.8661984205245972, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8756697773933411, max_false: 0.8751406669616699, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8911058902740479, max_false: 0.8771374821662903, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8747004270553589, max_false: 0.7906224131584167, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8468979001045227, max_false: 0.823758602142334, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8584520220756531, max_false: 0.8311184048652649, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.821424126625061, max_false: 0.8554337024688721, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8930976986885071, max_false: 0.8654404282569885, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8555665016174316, max_false: 0.8575819134712219, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8322526216506958, max_false: 0.8137405514717102, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8983523845672607, max_false: 0.8383798599243164, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.813852071762085, max_false: 0.7418303489685059, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8908669948577881, max_false: 0.8476017713546753, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8859258890151978, max_false: 0.8040225505828857, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8187599182128906, max_false: 0.8039427399635315, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8526831269264221, max_false: 0.8856785297393799, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9191867113113403, max_false: 0.8731477856636047, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8543776273727417, max_false: 0.7791563868522644, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.858589768409729, max_false: 0.8919402360916138, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8471152782440186, max_false: 0.8156300783157349, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8456497192382812, max_false: 0.814556896686554, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7999563813209534, max_false: 0.7853944897651672, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.825735330581665, max_false: 0.8321308493614197, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.87318354845047, max_false: 0.8236035704612732, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.6959243416786194, max_false: 0.759476900100708, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9087350368499756, max_false: 0.7285666465759277, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8768107891082764, max_false: 0.849554717540741, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8537490367889404, max_false: 0.8423627018928528, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8536922335624695, max_false: 0.8700017929077148, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8293368816375732, max_false: 0.7714651226997375, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8795002698898315, max_false: 0.8554777503013611, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8839147686958313, max_false: 0.8213396668434143, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8584529757499695, max_false: 0.9102715253829956, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7790735363960266, max_false: 0.7992235422134399, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.89211505651474, max_false: 0.8725891709327698, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9056804180145264, max_false: 0.8855451941490173, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8538316488265991, max_false: 0.8942896723747253, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9114412069320679, max_false: 0.8796471357345581, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8470999598503113, max_false: 0.8492249250411987, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8991464376449585, max_false: 0.8101130127906799, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8726297616958618, max_false: 0.88731449842453, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9044514298439026, max_false: 0.8650647401809692, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8158310651779175, max_false: 0.7770419120788574, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7692252993583679, max_false: 0.8261346220970154, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8512762188911438, max_false: 0.7382283806800842, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8826490640640259, max_false: 0.8373168706893921, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8857429623603821, max_false: 0.8766838908195496, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8153347969055176, max_false: 0.7874018549919128, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8666747212409973, max_false: 0.8827160000801086, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7798700332641602, max_false: 0.7096343040466309, correct: True
