experiment run details:
  dataset: hoi
  model: phi hoi lora
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.682967483997345, max_false: 0.5683539509773254, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6955528855323792, max_false: 0.29180750250816345, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6928075551986694, max_false: 0.7876296639442444, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.700394868850708, max_false: 0.2701888084411621, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7133827209472656, max_false: 0.42310982942581177, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5578669905662537, max_false: 0.5435507297515869, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8631832599639893, max_false: 0.5738398432731628, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5329456329345703, max_false: 0.3774411380290985, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7960954904556274, max_false: 0.68590247631073, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7185215353965759, max_false: 0.3857339918613434, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5526775121688843, max_false: 0.665942370891571, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6885488629341125, max_false: 0.666496217250824, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6441224217414856, max_false: 0.3469548225402832, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5084627866744995, max_false: 0.7491012811660767, correct: False
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.7803425788879395, max_false: 0.3031761050224304, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5980716943740845, max_false: 0.7304902672767639, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9044899940490723, max_false: 0.5443348288536072, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7848591208457947, max_false: 0.4488728642463684, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8895900845527649, max_false: 0.4336518347263336, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7311924695968628, max_false: 0.29539281129837036, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6603313684463501, max_false: 0.6738675236701965, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.866287887096405, max_false: 0.6764899492263794, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6556516289710999, max_false: 0.6829103827476501, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7818282842636108, max_false: 0.2764262855052948, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8177234530448914, max_false: 0.565218985080719, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7163596153259277, max_false: 0.3914235234260559, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7474096417427063, max_false: 0.6282635927200317, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5672280192375183, max_false: 0.4459298551082611, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8953004479408264, max_false: 0.5135335922241211, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.645868182182312, max_false: 0.38352635502815247, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.84142005443573, max_false: 0.5094174742698669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.79135662317276, max_false: 0.3355298340320587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7272264361381531, max_false: 0.6256825923919678, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.706981360912323, max_false: 0.7001492381095886, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8464798927307129, max_false: 0.5098792314529419, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4718215763568878, max_false: 0.5883507132530212, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5917529463768005, max_false: 0.5374990105628967, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6665050387382507, max_false: 0.7622539401054382, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9266312718391418, max_false: 0.6401273012161255, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6709110736846924, max_false: 0.5683204531669617, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7258924841880798, max_false: 0.5951754450798035, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7386952042579651, max_false: 0.6187129020690918, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5201271772384644, max_false: 0.68888258934021, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7107728719711304, max_false: 0.7092380523681641, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6522651314735413, max_false: 0.5848373770713806, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.753805935382843, max_false: 0.6236752867698669, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8481982946395874, max_false: 0.631075918674469, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5090404748916626, max_false: 0.38610073924064636, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8085996508598328, max_false: 0.6366515159606934, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7946608662605286, max_false: 0.4603531062602997, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7635304927825928, max_false: 0.6276332139968872, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7046781182289124, max_false: 0.7837698459625244, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8405402898788452, max_false: 0.6882845759391785, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7130810022354126, max_false: 0.49535995721817017, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6916903853416443, max_false: 0.7050599455833435, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6888654828071594, max_false: 0.5443999171257019, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7907701134681702, max_false: 0.5963506698608398, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.691356897354126, max_false: 0.4484208822250366, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5567800998687744, max_false: 0.7053502798080444, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7804819345474243, max_false: 0.6638706922531128, correct: True
in: torch.Size([456, 3072]), out: torch.Size([3072]), max_true: 0.5162047743797302, max_false: 0.5898935794830322, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8469885587692261, max_false: 0.49874094128608704, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7825288772583008, max_false: 0.6785520911216736, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7667130827903748, max_false: 0.7911534309387207, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8193803429603577, max_false: 0.6993411779403687, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5790331363677979, max_false: 0.41771093010902405, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8573884963989258, max_false: 0.31077662110328674, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7644584774971008, max_false: 0.1313246339559555, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.21558654308319092, max_false: 0.7271216511726379, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.44270551204681396, max_false: 0.5770676136016846, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8612924814224243, max_false: 0.6859455704689026, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7651793360710144, max_false: 0.7481849193572998, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7435920238494873, max_false: 0.6989135146141052, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7583094835281372, max_false: 0.5926581025123596, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.651952862739563, max_false: 0.6805474162101746, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6910524964332581, max_false: 0.412041574716568, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8070514798164368, max_false: 0.7278754115104675, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7718451619148254, max_false: 0.6545708179473877, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5489431023597717, max_false: 0.6010839343070984, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.31852754950523376, max_false: 0.8423675298690796, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7059169411659241, max_false: 0.5564684271812439, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7442352175712585, max_false: 0.6011319160461426, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.812433123588562, max_false: 0.6498965620994568, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6836423873901367, max_false: 0.6173881888389587, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7784811854362488, max_false: 0.5717483758926392, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.49763792753219604, max_false: 0.24052821099758148, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8676353096961975, max_false: 0.5119946599006653, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5416160821914673, max_false: 0.29551395773887634, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8175514340400696, max_false: 0.591099739074707, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5815369486808777, max_false: 0.6293588876724243, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8844241499900818, max_false: 0.5436159372329712, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7245951294898987, max_false: 0.5771362781524658, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8573363423347473, max_false: 0.6973891258239746, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7619544267654419, max_false: 0.459710031747818, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.779075026512146, max_false: 0.57513827085495, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8365187644958496, max_false: 0.6471434235572815, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7664283514022827, max_false: 0.7703391909599304, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5813888907432556, max_false: 0.3322860896587372, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7273222208023071, max_false: 0.4690137207508087, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.363957017660141, max_false: 0.4987516403198242, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.850982129573822, max_false: 0.6205804347991943, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6258721947669983, max_false: 0.579684853553772, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8223770260810852, max_false: 0.53818279504776, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6591176986694336, max_false: 0.33474671840667725, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6530669331550598, max_false: 0.6590726375579834, correct: False
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.4977661669254303, max_false: 0.46599552035331726, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7671827077865601, max_false: 0.5271721482276917, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6796647906303406, max_false: 0.43843287229537964, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.9008379578590393, max_false: 0.6479282379150391, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7588236927986145, max_false: 0.2678912580013275, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6963653564453125, max_false: 0.6014282703399658, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.5274360179901123, max_false: 0.48546236753463745, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.8702499866485596, max_false: 0.4767684042453766, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.6717032790184021, max_false: 0.32486391067504883, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.840781569480896, max_false: 0.5960266590118408, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.710631787776947, max_false: 0.5016119480133057, correct: True
in: torch.Size([756, 3072]), out: torch.Size([3072]), max_true: 0.7192379236221313, max_false: 0.568722665309906, correct: True
