experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: vision
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7289928793907166, max_false: 0.7414470314979553, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7865296006202698, max_false: 0.6398333311080933, correct: True
in: torch.Size([56, 8192]), out: torch.Size([8192]), max_true: 0.8123542666435242, max_false: 0.7695663571357727, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7633971571922302, max_false: 0.7109279036521912, correct: True
in: torch.Size([24, 8192]), out: torch.Size([8192]), max_true: 0.6845202445983887, max_false: 0.6190271377563477, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.7462932467460632, max_false: 0.7430272698402405, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8175316452980042, max_false: 0.7429735660552979, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7234137654304504, max_false: 0.6923895478248596, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7933400869369507, max_false: 0.7284113764762878, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7749359607696533, max_false: 0.7280061841011047, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7090526819229126, max_false: 0.7377287149429321, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7678149938583374, max_false: 0.7009975910186768, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.731713593006134, max_false: 0.7053356766700745, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.6683507561683655, max_false: 0.7158418297767639, correct: False
in: torch.Size([24, 8192]), out: torch.Size([8192]), max_true: 0.7681236863136292, max_false: 0.6836827993392944, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7856152057647705, max_false: 0.8214673399925232, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8390610218048096, max_false: 0.6671804189682007, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6691857576370239, max_false: 0.6116134524345398, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8331016898155212, max_false: 0.6825776100158691, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7437633872032166, max_false: 0.7175149321556091, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.6126343011856079, max_false: 0.6231914758682251, correct: False
in: torch.Size([56, 8192]), out: torch.Size([8192]), max_true: 0.8672968149185181, max_false: 0.793271541595459, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8010664582252502, max_false: 0.6991970539093018, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7825825214385986, max_false: 0.7144599556922913, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7570905089378357, max_false: 0.7125459313392639, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7832225561141968, max_false: 0.6998067498207092, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8924065828323364, max_false: 0.7976237535476685, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6901134848594666, max_false: 0.6630755662918091, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8060507774353027, max_false: 0.7463193535804749, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6880050897598267, max_false: 0.6478513479232788, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8672342300415039, max_false: 0.749778151512146, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8396174311637878, max_false: 0.7654663920402527, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8119853138923645, max_false: 0.8254203200340271, correct: False
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6487194895744324, max_false: 0.7248813509941101, correct: False
in: torch.Size([32, 8192]), out: torch.Size([8192]), max_true: 0.7988324165344238, max_false: 0.7695208787918091, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7931832075119019, max_false: 0.7778763175010681, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.7478782534599304, max_false: 0.7314016819000244, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.6896529793739319, max_false: 0.7202489972114563, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8841488361358643, max_false: 0.8285966515541077, correct: True
in: torch.Size([64, 8192]), out: torch.Size([8192]), max_true: 0.7337906360626221, max_false: 0.6645376086235046, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.6595370769500732, max_false: 0.6481505632400513, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7621923089027405, max_false: 0.7886878848075867, correct: False
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.8247132301330566, max_false: 0.795991837978363, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.8120980858802795, max_false: 0.77350914478302, correct: True
in: torch.Size([40, 8192]), out: torch.Size([8192]), max_true: 0.782373309135437, max_false: 0.7440911531448364, correct: True
in: torch.Size([48, 8192]), out: torch.Size([8192]), max_true: 0.7880680561065674, max_false: 0.7979468107223511, correct: False
