experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  similarity location: final
  prompt structure: batched

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9514310359954834, max_false: 0.9209904670715332, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9352137446403503, max_false: 0.8868322968482971, correct: True
in: torch.Size([257, 5120]), out: torch.Size([5120]), max_true: 0.898834764957428, max_false: 0.8750719428062439, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9291259050369263, max_false: 0.8712690472602844, correct: True
in: torch.Size([2817, 5120]), out: torch.Size([5120]), max_true: 0.9489611983299255, max_false: 0.9375215768814087, correct: True
in: torch.Size([257, 5120]), out: torch.Size([5120]), max_true: 0.8259137272834778, max_false: 0.8220279216766357, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9501379132270813, max_false: 0.9306591749191284, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9182868003845215, max_false: 0.8970353007316589, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9480496048927307, max_false: 0.9416393041610718, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9493658542633057, max_false: 0.9420508742332458, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9158201217651367, max_false: 0.8893107175827026, correct: True
in: torch.Size([1793, 5120]), out: torch.Size([5120]), max_true: 0.9266730546951294, max_false: 0.919732391834259, correct: True
in: torch.Size([769, 5120]), out: torch.Size([5120]), max_true: 0.7822900414466858, max_false: 0.7832978367805481, correct: False
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.9240343570709229, max_false: 0.9214848279953003, correct: True
in: torch.Size([2817, 5120]), out: torch.Size([5120]), max_true: 0.9584738612174988, max_false: 0.94792240858078, correct: True
in: torch.Size([3329, 5120]), out: torch.Size([5120]), max_true: 0.938251793384552, max_false: 0.9498204588890076, correct: False
