experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: labeled

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9575554728507996, max_false: 0.9460453391075134, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9502692222595215, max_false: 0.9058493971824646, correct: True
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.9532027244567871, max_false: 0.9798724055290222, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9235020279884338, max_false: 0.8868541717529297, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9773384928703308, max_false: 0.9789838790893555, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9779053330421448, max_false: 0.9626394510269165, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9813799858093262, max_false: 0.9775407314300537, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9600473642349243, max_false: 0.9700278043746948, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9799932837486267, max_false: 0.9761877059936523, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9616641402244568, max_false: 0.9525852799415588, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9532313942909241, max_false: 0.9476982355117798, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9485334157943726, max_false: 0.9456220865249634, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9793568849563599, max_false: 0.9746763706207275, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9776356816291809, max_false: 0.9669273495674133, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.988807737827301, max_false: 0.975841224193573, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.945462703704834, max_false: 0.9450526833534241, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9711640477180481, max_false: 0.9748625755310059, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9685382843017578, max_false: 0.9645519852638245, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9900633692741394, max_false: 0.9858545660972595, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9755741953849792, max_false: 0.9757017493247986, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9714881181716919, max_false: 0.966692328453064, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9668594598770142, max_false: 0.961061954498291, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9802523255348206, max_false: 0.9814122319221497, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9636462926864624, max_false: 0.9409422874450684, correct: True
