experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: vision
  prompt structure: single

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.962675154209137, max_false: 0.9494242668151855, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.950048565864563, max_false: 0.9345399141311646, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9345569014549255, max_false: 0.9146501421928406, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9679936766624451, max_false: 0.9280316829681396, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9086172580718994, max_false: 0.8981072902679443, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9639660120010376, max_false: 0.9311986565589905, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.866334855556488, max_false: 0.8673161268234253, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.952269971370697, max_false: 0.9300031065940857, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8716883063316345, max_false: 0.8751381635665894, correct: False
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.93683922290802, max_false: 0.7963659167289734, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8859120607376099, max_false: 0.864842414855957, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9713606834411621, max_false: 0.9267598986625671, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9298956394195557, max_false: 0.9433075785636902, correct: False
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9233265519142151, max_false: 0.804650604724884, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.942554771900177, max_false: 0.8944269418716431, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9250773787498474, max_false: 0.8291121125221252, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8652733564376831, max_false: 0.8209274411201477, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9604276418685913, max_false: 0.9613456726074219, correct: False
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9292150139808655, max_false: 0.9612435102462769, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9494912624359131, max_false: 0.9357507228851318, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9452242851257324, max_false: 0.9414661526679993, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9579845666885376, max_false: 0.9219540357589722, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9359931349754333, max_false: 0.9185839295387268, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9653921127319336, max_false: 0.9295953512191772, correct: True
in: torch.Size([257, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8170841932296753, max_false: 0.7910061478614807, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.940162181854248, max_false: 0.9190158247947693, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9669491648674011, max_false: 0.9379029870033264, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9680057764053345, max_false: 0.9477038979530334, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9425082802772522, max_false: 0.9235216379165649, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9711809158325195, max_false: 0.95833420753479, correct: True
in: torch.Size([3329, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9513022303581238, max_false: 0.95833420753479, correct: False
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9644596576690674, max_false: 0.9420216083526611, correct: True
in: torch.Size([769, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.8759300708770752, max_false: 0.8655216097831726, correct: True
in: torch.Size([1793, 8192]), out: torch.Size([8192]), len: (6, 6), max_true: 0.9340404272079468, max_false: 0.8959200978279114, correct: True
