experiment run details:
  dataset: openworld
  path: /gpfs/mariana/home/envomp/bongard/
  similarity location: final
  prompt structure: interleaved

---------------------------------------
  test split name: test
---------------------------------------

in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9593651294708252, max_false: 0.9475145936012268, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9514190554618835, max_false: 0.9043880701065063, correct: True
in: torch.Size([2815, 8192]), out: torch.Size([8192]), max_true: 0.9506346583366394, max_false: 0.9791169166564941, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.923311710357666, max_false: 0.8893908262252808, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9701022505760193, max_false: 0.9790958762168884, correct: False
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9784723520278931, max_false: 0.9563186764717102, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9804160594940186, max_false: 0.9741318821907043, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9600211381912231, max_false: 0.9683180451393127, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9790330529212952, max_false: 0.9745023846626282, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9634178876876831, max_false: 0.9511939883232117, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9560606479644775, max_false: 0.9494966268539429, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.950996458530426, max_false: 0.9449458718299866, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9796093702316284, max_false: 0.976219654083252, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9779969453811646, max_false: 0.9643305540084839, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9873292446136475, max_false: 0.9764035940170288, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.950219988822937, max_false: 0.9440699815750122, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9724241495132446, max_false: 0.9750707149505615, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.967223048210144, max_false: 0.9648919701576233, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9872999787330627, max_false: 0.9856384992599487, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9740128517150879, max_false: 0.9734057188034058, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9689846038818359, max_false: 0.9671198129653931, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9668635725975037, max_false: 0.9606068730354309, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.978484034538269, max_false: 0.9801611304283142, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.96470046043396, max_false: 0.9436771869659424, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9735795855522156, max_false: 0.9787737727165222, correct: False
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.8442444801330566, max_false: 0.8247188329696655, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9789714813232422, max_false: 0.9850867986679077, correct: False
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9476731419563293, max_false: 0.9251474738121033, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9874905943870544, max_false: 0.9871926307678223, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9621419310569763, max_false: 0.960363507270813, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9449509382247925, max_false: 0.9384716153144836, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9611631035804749, max_false: 0.9617118239402771, correct: False
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9681101441383362, max_false: 0.9805307388305664, correct: False
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9502546191215515, max_false: 0.9237522482872009, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9138237833976746, max_false: 0.830427348613739, correct: True
in: torch.Size([255, 8192]), out: torch.Size([8192]), max_true: 0.9154201149940491, max_false: 0.8717467188835144, correct: True
in: torch.Size([3327, 8192]), out: torch.Size([8192]), max_true: 0.9644948840141296, max_false: 0.9631083607673645, correct: True
in: torch.Size([767, 8192]), out: torch.Size([8192]), max_true: 0.9586114287376404, max_false: 0.9296857714653015, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9919594526290894, max_false: 0.9859582185745239, correct: True
in: torch.Size([1791, 8192]), out: torch.Size([8192]), max_true: 0.9889262914657593, max_false: 0.9748541116714478, correct: True
